id,dist1,dist2,dist3,timeSent,created_at,updated_at,macAddr,beac1,beac2,beac3
195,0.971617348,4.09702908,4.882278987,2014-09-21T22:33:29.000Z,2014-09-21T02:33:28.377Z,2014-09-21T02:33:28.377Z,,2467,54317,12284
196,0.981544212,2.294248587,4.604315089,2014-09-21T22:33:30.000Z,2014-09-21T02:33:29.342Z,2014-09-21T02:33:29.342Z,,2467,54317,12284
197,0.987896291,2.098767843,4.392981454,2014-09-21T22:33:31.000Z,2014-09-21T02:33:30.421Z,2014-09-21T02:33:30.421Z,,2467,54317,12284
198,1.034492474,1.971989606,4.229148117,2014-09-21T22:33:32.000Z,2014-09-21T02:33:31.372Z,2014-09-21T02:33:31.372Z,,2467,54317,12284
199,1.223008952,2.225505078,4.534053988,2014-09-21T22:33:33.000Z,2014-09-21T02:33:32.392Z,2014-09-21T02:33:32.392Z,,2467,54317,12284
200,1.630605859,1.705619404,4.55278424,2014-09-21T22:33:34.000Z,2014-09-21T02:33:33.372Z,2014-09-21T02:33:33.372Z,,2467,54317,12284
201,1.441227686,1.952805477,4.346741375,2014-09-21T22:33:35.000Z,2014-09-21T02:33:34.378Z,2014-09-21T02:33:34.378Z,,54317,2467,12284
202,0.727062425,2.546270647,3.217594111,2014-09-21T22:33:36.000Z,2014-09-21T02:33:35.376Z,2014-09-21T02:33:35.376Z,,54317,2467,12284
203,0.43509455,2.625502138,2.883904151,2014-09-21T22:33:37.000Z,2014-09-21T02:33:36.370Z,2014-09-21T02:33:36.370Z,,54317,12284,2467
204,0.326862728,2.625502138,3.352591272,2014-09-21T22:33:38.000Z,2014-09-21T02:33:37.368Z,2014-09-21T02:33:37.368Z,,54317,12284,2467
205,0.420661853,2.350707799,3.352591272,2014-09-21T22:33:39.000Z,2014-09-21T02:33:38.373Z,2014-09-21T02:33:38.373Z,,54317,12284,2467
206,0.580474845,2.350707799,2.853500388,2014-09-21T22:33:40.000Z,2014-09-21T02:33:39.366Z,2014-09-21T02:33:39.366Z,,54317,12284,2467
207,0.55605461,2.479189814,3.703150919,2014-09-21T22:33:41.000Z,2014-09-21T02:33:40.366Z,2014-09-21T02:33:40.366Z,,54317,12284,2467
208,0.543426898,3.193455698,4.458931801,2014-09-21T22:33:42.000Z,2014-09-21T02:33:41.366Z,2014-09-21T02:33:41.366Z,,54317,12284,2467
209,0.415400409,3.527721232,5.128821898,2014-09-21T22:33:43.000Z,2014-09-21T02:33:42.370Z,2014-09-21T02:33:42.370Z,,54317,12284,2467
210,0.363074627,3.861671599,5.805773889,2014-09-21T22:33:44.000Z,2014-09-21T02:33:43.385Z,2014-09-21T02:33:43.385Z,,54317,12284,2467
211,0.405937354,4.120579862,6.652602703,2014-09-21T22:33:45.000Z,2014-09-21T02:33:44.369Z,2014-09-21T02:33:44.369Z,,54317,12284,2467
212,0.456212363,4.325955934,5.542875747,2014-09-21T22:33:46.000Z,2014-09-21T02:33:45.375Z,2014-09-21T02:33:45.375Z,,54317,12284,2467
213,0.51295289,2.747571079,4.895811721,2014-09-21T22:33:47.000Z,2014-09-21T02:33:46.371Z,2014-09-21T02:33:46.371Z,,54317,12284,2467
214,0.519335852,2.113561751,5.05756065,2014-09-21T22:33:48.000Z,2014-09-21T02:33:47.369Z,2014-09-21T02:33:47.369Z,,54317,12284,2467
215,0.522888737,1.921312442,5.093865078,2014-09-21T22:33:49.000Z,2014-09-21T02:33:48.343Z,2014-09-21T02:33:48.343Z,,54317,12284,2467
216,0.683963803,2.122522898,5.010057091,2014-09-21T22:33:50.000Z,2014-09-21T02:33:49.374Z,2014-09-21T02:33:49.374Z,,54317,12284,2467
